Title,Authors,Source Title,Publication Date,Publication Year,DOI,Total Citations,Search
Assessment of new operational strategy in optimization of CCHP plant for different climates using evolutionary algorithms,"Hajabdollahi, Hassan; Ganjehkaviri, Abdolsaeid; Jaafar, Mohammad Nazri Mohd",APPLIED THERMAL ENGINEERING,JAN 22 2015,2015.0,10.1016/j.applthermaleng.2014.09.033,68,OTE
Template-Directed In Situ Polymerization Preparation of Nanocomposites of PEDOT:PSS-Coated Multi-Walled Carbon Nanotubes with Enhanced Thermoelectric Property,"Zhang, Zhuang; Chen, Guangming; Wang, Hanfu; Li, Xin",CHEMISTRY-AN ASIAN JOURNAL,JAN 2015,2015.0,10.1002/asia.201403100,68,OTE
Forty years of molecular electronics: Non-equilibrium heat and charge transport at the nanoscale,"Bergfield, Justin P.; Ratner, Mark A.",PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,NOV 2013,2013.0,10.1002/pssb.201350048,68,OTE
Percolation approach to hopping transport in organic disordered solids,"Baranovskii, SD; Zvyagin, IP; Cordes, H; Yamasaki, S; Thomas, P",PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,MAR 2002,2002.0,10.1002/1521-3951(200203)230:1<281::AID-PSSB281>3.0.CO;2-W,68,OTE
Tuning thermoelectric performance by nanostructure evolution of a conducting polymer,"Hu, Xincheng; Chen, Guangming; Wang, Xin; Wang, Hanfu",JOURNAL OF MATERIALS CHEMISTRY A,2015,2015.0,10.1039/c5ta07381b,67,OTE
Highly electrical and thermoelectric properties of a PEDOT:PSS thin-film via direct dilution-filtration,"Xiong, Jinhua; Jiang, Fengxing; Zhou, Weiqiang; Liu, Congcong; Xu, Jingkun",RSC ADVANCES,2015,2015.0,10.1039/c5ra07820b,67,OTE
High electrical conductivity and n-type thermopower from double-/single-wall carbon nanotubes by manipulating charge interactions between nanotubes and organic/inorganic nanomaterials,"Ryu, Yeontack; Freeman, Dallas; Yu, Choongho",CARBON,NOV 2011,2011.0,10.1016/j.carbon.2011.06.082,67,OTE
Structural and transport properties of Ba8Ga16SixGe30-x clathrates,"Martin, J; Erickson, S; Nolas, GS; Alboni, P; Tritt, TM; Yang, J",JOURNAL OF APPLIED PHYSICS,FEB 15 2006,2006.0,10.1063/1.2171775,67,OTE
Materials and Wearable Devices for Autonomous Monitoring of Physiological Markers,"Wu, Weiwei; Haick, Hossam",ADVANCED MATERIALS,OCT 11 2018,2018.0,10.1002/adma.201705024,66,OTE
Thermoelectric properties of n-type C-60 thin films and their application in organic thermovoltaic devices,"Sumino, Mao; Harada, Kentaro; Ikeda, Masaaki; Tanaka, Saburo; Miyazaki, Koji; Adachi, Chihaya",APPLIED PHYSICS LETTERS,AUG 29 2011,2011.0,10.1063/1.3631633,66,OTE
Thermoelectric properties of lattice-matched AlInN alloy grown by metal organic chemical vapor deposition,"Tong, Hua; Zhang, Jing; Liu, Guangyu; Herbsommer, Juan A.; Huang, G. S.; Tansu, Nelson",APPLIED PHYSICS LETTERS,SEP 13 2010,2010.0,10.1063/1.3489086,66,OTE
Bendable n-Type Metallic Nanocomposites with Large Thermoelectric Power Factor,"Chen, Yani; He, Minhong; Liu, Bin; Bazan, Guillermo C.; Zhou, Jun; Liang, Ziqi",ADVANCED MATERIALS,JAN 25 2017,2017.0,10.1002/adma.201604752,65,OTE
Woven-Yarn Thermoelectric Textiles,"Lee, Jae Ah; Aliev, Ali E.; Bykova, Julia S.; de Andrade, Monica Jung; Kim, Daeyoung; Sim, Hyeon Jun; Lepro, Xavier; Zakhidov, Anvar A.; Lee, Jeong-Bong; Spinks, Geoffrey M.; Roth, Siegmar; Kim, Seon Jeong; Baughman, Ray H.",ADVANCED MATERIALS,JUL 6 2016,2016.0,10.1002/adma.201600709,65,OTE
The Effects of the Organic-Inorganic Interactions on the Thermal Transport Properties of CH3NH3PbI3,"Hata, Tomoyuki; Giorgi, Giacomo; Yamashita, Koichi",NANO LETTERS,APR 2016,2016.0,10.1021/acs.nanolett.6b00457,65,OTE
THERMOELECTRIC POLYMERS Behind organics' thermopower,"Chabinyc, Michael",NATURE MATERIALS,FEB 2014,2014.0,10.1038/nmat3859,65,OTE
First-principles investigation of organic semiconductors for thermoelectric applications,"Wang, Dong; Tang, Ling; Long, Mengqiu; Shuai, Zhigang",JOURNAL OF CHEMICAL PHYSICS,DEC 14 2009,2009.0,10.1063/1.3270161,65,OTE
Thermo-electrical properties of PVA-nanotube composite fibers,"Miaudet, P.; Bartholome, C.; Derre, A.; Maugey, M.; Sigaud, G.; Zakri, C.; Poulin, P.",POLYMER,JUN 29 2007,2007.0,10.1016/j.polymer.2007.05.028,65,OTE
High performance n-type Ag2Se film on nylon membrane for flexible thermoelectric power generator,"Ding, Yufei; Qiu, Yang; Cai, Kefeng; Yao, Qin; Chen, Song; Chen, Lidong; He, Jiaqing",NATURE COMMUNICATIONS,FEB 19 2019,2019.0,10.1038/s41467-019-08835-5,64,OTE
Thermal Conduction in Vertically Aligned Copper Nanowire Arrays and Composites,"Barako, Michael T.; Roy-Panzer, Shilpi; English, Timothy S.; Kodama, Takashi; Asheghi, Mehdi; Kenny, Thomas W.; Goodson, Kenneth E.",ACS APPLIED MATERIALS & INTERFACES,SEP 2 2015,2015.0,10.1021/acsami.5b05147,64,OTE
Simultaneously Improving Electrical Conductivity and Thermopower of Polyaniline Composites by Utilizing Carbon Nanotubes as High Mobility Conduits,"Wang, Hong; Yi, Su-in; Pu, Xiong; Yu, Choongho",ACS APPLIED MATERIALS & INTERFACES,MAY 13 2015,2015.0,10.1021/acsami.5b01149,64,OTE
Unusual Thermoelectric Behavior Indicating a Hopping to Bandlike Transport Transition in Pentacene,"Germs, W. Chr; Guo, K.; Janssen, R. A. J.; Kemerink, M.",PHYSICAL REVIEW LETTERS,JUL 6 2012,2012.0,10.1103/PhysRevLett.109.016601,64,OTE
Hydrothermal preparation and characterization of based-alloy Bi2Te3 nanostructure with different morphology,"Salavati-Niasari, Masoud; Bazarganipour, Mehdi; Davar, Fatemeh",JOURNAL OF ALLOYS AND COMPOUNDS,JAN 21 2010,2010.0,10.1016/j.jallcom.2009.09.101,64,OTE
"Electrical conductivity, thermoelectric power, and optical properties of organo-soluble polyaniline organic semiconductor","Yakuphanoglu, Fahrettin; Senkal, Bahire Filiz; Sarac, Ayfer",JOURNAL OF ELECTRONIC MATERIALS,JUN 2008,2008.0,10.1007/s11664-008-0404-9,64,OTE
Conductivity Enhancement of PEDOT:PSS via Addition of Chloroplatinic Acid and Its Mechanism,"Wu, Falin; Li, Pengcheng; Sun, Kuan; Zhou, Yongli; Chen, Wei; Fu, Jiehao; Li, Meng; Lu, Shirong; Wei, Dongshan; Tang, Xiaosheng; Zang, Zhigang; Sun, Lidong; Liu, Xixia; Ouyang, Jianyong",ADVANCED ELECTRONIC MATERIALS,JUL 2017,2017.0,10.1002/aelm.201700047,63,OTE
A facile chemical reduction approach for effectively tuning thermoelectric properties of PEDOT films,"Wang, Jiao; Cai, Kefeng; Shen, Shirley",ORGANIC ELECTRONICS,FEB 2015,2015.0,10.1016/j.orgel.2014.12.007,63,OTE
Improved Thermoelectric Performance of Free-Standing PEDOT:PSS/Bi2Te3 Films with Low Thermal Conductivity,"Song, Haijun; Liu, Congcong; Zhu, Hongfei; Kong, Fangfang; Lu, Baoyang; Xu, Jingkun; Wang, Jianmin; Zhao, Feng",JOURNAL OF ELECTRONIC MATERIALS,JUN 2013,2013.0,10.1007/s11664-013-2587-y,63,OTE
Geometric structure and photovoltaic properties of mixed halide germanium perovskites from theoretical view,"Zhao, Yu-Qing; Wang, Xuan; Liu, Biao; Yu, Zhuo-Liang; He, Pe-Bing; Wan, Qiang; Cai, Meng-Qiu; Yu, Hai-Lin",ORGANIC ELECTRONICS,FEB 2018,2018.0,10.1016/j.orgel.2017.11.005,62,OTE
A Microporous and Naturally Nanostructured Thermoelectric Metal-Organic Framework with Ultralow Thermal Conductivity,"Sun, Lei; Liao, Bolin; Sheberla, Dennis; Kraemer, Daniel; Zhou, Jiawei; Stach, Eric A.; Zakharov, Dmitri; Stavila, Vitalie; Talin, A. Alec; Ge, Yicong; Allendorf, Mark D.; Chen, Gang; Leonard, Francois; Dinca, Mircea",JOULE,SEP 6 2017,2017.0,10.1016/j.joule.2017.07.018,62,OTE
Flexible n-type thermoelectric films based on Cu-doped Bi2Se3 nanoplate and Polyvinylidene Fluoride composite with decoupled Seebeck coefficient and electrical conductivity,"Dun, Chaochao; Hewitt, Corey A.; Huang, Huihui; Xu, Junwei; Zhou, Chongjian; Huang, Wenxiao; Cui, Yue; Zhou, Wei; Jiang, Qike; Carroll, David L.",NANO ENERGY,NOV 2015,2015.0,10.1016/j.nanoen.2015.10.012,62,OTE
Nanowires as Building Blocks to Fabricate Flexible Thermoelectric Fabric: The Case of Copper Telluride Nanowires,"Zhou, Chongjian; Dun, Chaochao; Wang, Qiong; Wang, Ke; Shi, Zhongqi; Carroll, David L.; Liu, Guiwu; Qiao, Guanjun",ACS APPLIED MATERIALS & INTERFACES,SEP 30 2015,2015.0,10.1021/acsami.5b07144,62,OTE
Thermoelectric power enhancement of PEDOT:PSS in high-humidity conditions,"Wei, Qingshuo; Mukaida, Masakazu; Kirihara, Kazuhiro; Naitoh, Yasuhisa; Ishida, Takao",APPLIED PHYSICS EXPRESS,MAR 2014,2014.0,10.7567/APEX.7.031601,62,OTE
Electrical transport and optical properties of an organic semiconductor based on phthalocyanine,"Yakuphanoglu, F.; Kandaz, M.; Yarasir, M. N.; Senkal, F. B.",PHYSICA B-CONDENSED MATTER,APR 30 2007,2007.0,10.1016/j.physb.2007.01.007,62,OTE
"Contents, modes of occurrence and behaviour of chlorine and bromine in combustion wastes from coal-fired power stations","Vassilev, SV; Eskenazy, GM; Vassileva, CG",FUEL,JUN 2000,2000.0,10.1016/S0016-2361(99)00231-8,62,OTE
Solution-printable fullerene/TiS2 organic/inorganic hybrids for high-performance flexible n-type thermoelectrics,"Wang, Liming; Zhang, Zimeng; Geng, Linxiao; Yuan, Tianyu; Liu, Yuchen; Guo, Juchen; Fang, Lei; Qiu, Jingjing; Wang, Shiren",ENERGY & ENVIRONMENTAL SCIENCE,MAY 1 2018,2018.0,10.1039/c7ee03617e,61,OTE
Toward Stretchable Self-Powered Sensors Based on the Thermoelectric Response of PEDOT:PSS/Polyurethane Blends,"Taroni, Prospero J.; Santagiuliana, Giovanni; Wan, Kening; Calado, Philip; Qiu, Manting; Zhang, Han; Pugno, Nicola M.; Palma, Matteo; Stingelin-Stutzman, Natalie; Heeney, Martin; Fenwick, Oliver; Baxendale, Mark; Bilotti, Emiliano",ADVANCED FUNCTIONAL MATERIALS,APR 11 2018,2018.0,10.1002/adfm.201704285,61,OTE
Energy conversion technologies towards self-powered electrochemical energy storage systems: the state of the art and perspectives,"Wei, Huige; Cui, Dapeng; Ma, Junhui; Chu, Liqiang; Zhao, Xiaoyu; Song, Haixiang; Liu, Hu; Liu, Tao; Wang, Ning; Guo, Zhanhu",JOURNAL OF MATERIALS CHEMISTRY A,FEB 7 2017,2017.0,10.1039/c6ta09726j,61,OTE
Enhanced thermoelectric performance by self-assembled layered morphology of polypyrrole nanowire/single-walled carbon nanotube composites,"Liang, Lirong; Chen, Guangming; Guo, Cun-Yue",COMPOSITES SCIENCE AND TECHNOLOGY,JUN 6 2016,2016.0,10.1016/j.compscitech.2016.04.023,61,OTE
Thermoelectric model to characterize carrier transport in organic semiconductors,"Kim, Gunho; Pipe, Kevin P.",PHYSICAL REVIEW B,AUG 29 2012,2012.0,10.1103/PhysRevB.86.085208,61,OTE
Facile Fabrication of PEDOT:PSS/Polythiophenes Bilayered Nanofilms on Pure Organic Electrodes and Their Thermoelectric Performance,"Shi, Hui; Liu, Congcong; Xu, Jingkun; Song, Haijun; Lu, Baoyang; Jiang, Fengxing; Zhou, Weiqiang; Zhang, Ge; Jiang, Qinglin",ACS APPLIED MATERIALS & INTERFACES,DEC 25 2013,2013.0,10.1021/am404183v,60,OTE
"Improved thermoelectric performance of organic thin-film elements utilizing a bilayer structure of pentacene and 2,3,5,6-tetrafluoro-7,7,8,8-tetracyanoquinodimethane (F-4-TCNQ)","Harada, Kentaro; Sumino, Mao; Adachi, Chihaya; Tanaka, Saburo; Miyazaki, Koji",APPLIED PHYSICS LETTERS,JUN 21 2010,2010.0,10.1063/1.3456394,60,OTE
The influence of Cu/Al ratio on properties of chemical-vapor-deposition-grown p-type Cu-Al-O transparent semiconducting films,"Cai, JL; Gong, H",JOURNAL OF APPLIED PHYSICS,AUG 1 2005,2005.0,10.1063/1.1997293,60,OTE
Enhancing the n-Type Conductivity and Thermoelectric Performance of Donor-Acceptor Copolymers through Donor Engineering,"Yang, Chi-Yuan; Jin, Wen-Long; Wang, Jue; Ding, Yi-Fan; Nong, Shuying; Shi, Ke; Lu, Yang; Dai, Ya-Zhong; Zhuang, Fang-Dong; Lei, Ting; Di, Chong-An; Zhu, Daoben; Wang, Jie-Yu; Pei, Jian",ADVANCED MATERIALS,OCT 25 2018,2018.0,10.1002/adma.201802850,59,OTE
A review of carrier thermoelectric-transport theory in organic semiconductors,"Lu, Nianduan; Li, Ling; Liu, Ming",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,AUG 7 2016,2016.0,10.1039/c6cp02830f,59,OTE
Enhanced thermoelectric performance of PEDOT: PSS/PANI-CSA polymer multilayer structures,"Lee, Hye Jeong; Anoop, Gopinathan; Lee, Hyeon Jun; Kim, Chingu; Park, Ji-Woong; Choi, Jaeyoo; Kim, Heesuk; Kim, Yong-Jae; Lee, Eunji; Lee, Sang-Gil; Kim, Young-Min; Lee, Joo-Hyoung; Jo, Ji Young",ENERGY & ENVIRONMENTAL SCIENCE,2016,2016.0,10.1039/c5ee03063c,59,OTE
Airborne measurements of HCHO and HCOOH during the New England Air Quality Study 2004 using a pulsed quantum cascade laser spectrometer,"Herndon, Scott C.; Zahniser, Mark S.; Nelson, David D., Jr.; Shorter, Joanne; McManus, J. Barry; Jimenez, Rodrigo; Warneke, Carsten; de Gouw, Joost A.",JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,FEB 10 2007,2007.0,10.1029/2006JD007600,59,OTE
Study on Optoelectronic Polymers: An Overview and Outlook,"Huang, Fei; Bo, Zhi-shan; Geng, Yan-hou; Wang, Xian-hong; Wang, Li-xiang; Ma, Yu-guang; Hou, Jian-hui; Hu, Wen-ping; Pei, Jian; Dong, Huan-li; Wang, Shu; Li, Zhen; Shuai, Zhi-gang; Li, Yong-fang; Cao, Yong",ACTA POLYMERICA SINICA,OCT 2019,2019.0,10.11777/j.issn1000-3304.2019.19110,58,OTE
Enhanced Thermal Stability under DC Electrical Conductivity Retention and Visible Light Activity of Ag/TiO2@Polyaniline Nanocomposite Film,"Ansari, Mohd Omaish; Khan, Mohammad Mansoob; Ansari, Sajid Ali; Raju, Kati; Lee, Jintae; Cho, Moo Hwan",ACS APPLIED MATERIALS & INTERFACES,JUN 11 2014,2014.0,10.1021/am500488e,58,OTE
Transparent and flexible organic field-effect transistor for multi-modal sensing,"Tran Quang Trung; Nguyen Thanh Tien; Seol, Young Gug; Lee, Nae-Eung",ORGANIC ELECTRONICS,APR 2012,2012.0,10.1016/j.orgel.2011.12.015,58,OTE
Widely variable Seebeck coefficient and enhanced thermoelectric power of PEDOT:PSS films by blending thermal decomposable ammonium formate,"Tsai, Tsung-Che; Chang, Hsiu-Cheng; Chen, Chun-Hua; Whang, Wha-Tzong",ORGANIC ELECTRONICS,DEC 2011,2011.0,10.1016/j.orgel.2011.09.004,58,OTE
A three-in-one improvement in thermoelectric properties of polyaniline brought by nanostructures,"Sun, Yirneng; Wei, Zhongming; Xu, Wei; Zhu, Daoben",SYNTHETIC METALS,NOV 2010,2010.0,10.1016/j.synthmet.2010.09.014,58,OTE
Peltier cooling in molecular junctions,"Cui, Longji; Miao, Ruijiao; Wang, Kun; Thompson, Dakotah; Angela Zotti, Linda; Carlos Cuevas, Juan; Meyhofer, Edgar; Reddy, Pramod",NATURE NANOTECHNOLOGY,FEB 2018,2018.0,10.1038/s41565-017-0020-z,57,OTE
Stable n-type thermoelectric multilayer thin films with high power factor from carbonaceous nanofillers,"Cho, Chungyeon; Culebras, Mario; Wallace, Kevin L.; Song, Yixuan; Holder, Kevin; Hsu, Jui-Hung; Yu, Choongho; Grunlan, Jaime C.",NANO ENERGY,OCT 2016,2016.0,10.1016/j.nanoen.2016.08.063,57,OTE
Technology competition in the internal combustion engine waste heat recovery: a patent landscape analysis,"Karvonen, Matti; Kapoor, Rahul; Uusitalo, Antti; Ojanen, Ville",JOURNAL OF CLEANER PRODUCTION,JAN 20 2016,2016.0,10.1016/j.jclepro.2015.06.031,57,OTE
Modulated Thermoelectric Properties of Organic Semiconductors Using Field-Effect Transistors,"Zhang, Fengjiao; Zang, Yaping; Huang, Dazhen; Di, Chong-an; Gao, Xike; Sirringhaus, Henning; Zhu, Daoben",ADVANCED FUNCTIONAL MATERIALS,MAY 27 2015,2015.0,10.1002/adfm.201404397,57,OTE
Controlling the thermoelectric properties of polymers: application to PEDOT and polypyrrole,"Culebras, Mario; Uriol, Belen; Gomez, Clara M.; Cantarero, Andres",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015,2015.0,10.1039/c5cp01940k,57,OTE
Modeling thermoelectric transport in organic materials,"Wang, Dong; Shi, Wen; Chen, Jianming; Xi, Jinyang; Shuai, Zhigang",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2012,2012.0,10.1039/c2cp42710a,57,OTE
Flexible ZnO-Cellulose Nanocomposite for Multisource Energy Conversion,"Kumar, Ashavani; Gullapalli, Hemtej; Balakrishnan, Kaushik; Botello-Mendez, Andres; Vajtai, Robert; Terrones, Mauricio; Ajayan, Pulickel M.",SMALL,AUG 8 2011,2011.0,10.1002/smll.201100458,57,OTE
"Varying the concentration of single walled carbon nanotubes in thin film polymer composites, and its effect on thermoelectric power","Hewitt, C. A.; Kaiser, A. B.; Roth, S.; Craps, M.; Czerw, R.; Carroll, D. L.",APPLIED PHYSICS LETTERS,MAY 2 2011,2011.0,10.1063/1.3580761,57,OTE
Characterizations of Seebeck coefficients and thermoelectric figures of merit for AlInN alloys with various In-contents,"Zhang, Jing; Tong, Hua; Liu, Guangyu; Herbsommer, Juan A.; Huang, G. S.; Tansu, Nelson",JOURNAL OF APPLIED PHYSICS,MAR 1 2011,2011.0,10.1063/1.3553880,57,OTE
Seebeck Tuning in Chalcogenide Nanoplate Assemblies by Nanoscale Heterostructuring,"Mehta, Rutvik J.; Karthik, Chinnathambi; Singh, Binay; Teki, Ranganath; Borca-Tasciuc, Theo; Ramanath, Ganpati",ACS NANO,SEP 2010,2010.0,10.1021/nn101322p,57,OTE
Mechanisms for Thermal Conduction in Methane Hydrate,"English, Niall J.; Tse, John S.",PHYSICAL REVIEW LETTERS,JUL 3 2009,2009.0,10.1103/PhysRevLett.103.015901,57,OTE
Synthesis and characterization of nanocrystalline bismuth telluride,"Foos, EE; Stroud, RM; Berry, AD",NANO LETTERS,DEC 2001,2001.0,10.1021/nl0156179,57,OTE
Investigating thermoelectric properties of doped polyaniline nanowires,"Wu, Jiansheng; Sun, Yimeng; Xu, Wei; Zhang, Qichun",SYNTHETIC METALS,MAR 2014,2014.0,10.1016/j.synthmet.2014.01.007,56,OTE
Orientational order controls crystalline and amorphous thermal transport in superatomic crystals,"Ong, Wee-Liat; O'Brien, Evan S.; Dougherty, Patrick S. M.; Paley, Daniel W.; Higgs, C. Fred, III; McGaughey, Alan J. H.; Malen, Jonathan A.; Roy, Xavier",NATURE MATERIALS,JAN 2017,2017.0,10.1038/NMAT4739,55,OTE
"Novel solution-processable, dedoped semiconductors for application in thermoelectric devices","Lee, Seung Hwan; Park, Hongkwan; Son, Woohyun; Choi, Hyang Hee; Kim, Jung Hyun",JOURNAL OF MATERIALS CHEMISTRY A,SEP 7 2014,2014.0,10.1039/c4ta01839g,55,OTE
"Thermoelectric characteristics of (Zn,Al)O/hydroquinone superlattices","Tynell, Tommi; Terasaki, Ichiro; Yamauchi, Hisao; Karppinen, Maarit",JOURNAL OF MATERIALS CHEMISTRY A,2013,2013.0,10.1039/c3ta12909h,55,OTE
Emerging electrochemical and membrane-based systems to convert low-grade heat to electricity,"Rahimi, Mohammad; Straub, Anthony P.; Zhang, Fang; Zhu, Xiuping; Elimelech, Menachem; Gorski, Christopher A.; Logan, Bruce E.",ENERGY & ENVIRONMENTAL SCIENCE,FEB 2018,2018.0,10.1039/c7ee03026f,54,OTE
A solution-processed TiS2/organic hybrid superlattice film towards flexible thermoelectric devices,"Tian, Ruoming; Wan, Chunlei; Wang, Yifeng; Wei, Qingshuo; Ishida, Takao; Yamamoto, Atsushi; Tsuruta, Akihiro; Shin, Woosuck; Li, Sean; Koumoto, Kunihito",JOURNAL OF MATERIALS CHEMISTRY A,JAN 14 2017,2017.0,10.1039/c6ta08838d,54,OTE
Topological insulator Bi2Te3 films synthesized by metal organic chemical vapor deposition,"Cao, Helin; Venkatasubramanian, Rama; Liu, Chang; Pierce, Jonathan; Yang, Haoran; Hasan, M. Zahid; Wu, Yue; Chen, Yong P.",APPLIED PHYSICS LETTERS,OCT 15 2012,2012.0,10.1063/1.4760226,54,OTE
Rapid turnaround scanning probe nanolithography,"Paul, Philip C.; Knoll, Armin W.; Holzner, Felix; Despont, Michel; Duerig, Urs",NANOTECHNOLOGY,JUL 8 2011,2011.0,10.1088/0957-4484/22/27/275306,54,OTE
Improving Thermoelectric Properties of Chemically Synthesized Bi2Te3-Based Nanocrystals by Annealing,"Zhao, Yixin; Dyck, Jeffrey S.; Hernandez, Brett M.; Burda, Clemens",JOURNAL OF PHYSICAL CHEMISTRY C,JUL 8 2010,2010.0,10.1021/jp102816x,54,OTE
Fabrication of Bismuth Telluride-Based Alloy Thin Film Thermoelectric Devices Grown by Metal Organic Chemical Vapor Deposition,"Kwon, Sung-Do; Ju, Byeong-Kwon; Yoon, Seok-Jin; Kim, Jin-Sang",JOURNAL OF ELECTRONIC MATERIALS,JUL 2009,2009.0,10.1007/s11664-009-0704-8,54,OTE
Modeling elastic and photoassisted transport in organic molecular wires: Length dependence and current-voltage characteristics,"Viljas, J. K.; Pauly, F.; Cuevas, J. C.",PHYSICAL REVIEW B,APR 2008,2008.0,10.1103/PhysRevB.77.155119,54,OTE
"Search for Organic Thermoelectric Materials with High Mobility: The Case of 2,7-Dialkyl[1]benzothieno[3,2-b][1]benzothiophene Derivatives","Shi, Wen; Chen, Jianming; Xi, Jinyang; Wang, Dong; Shuai, Zhigang",CHEMISTRY OF MATERIALS,APR 22 2014,2014.0,10.1021/cm500429w,53,OTE
A Chemically Doped Naphthalenediimide-Bithiazole Polymer for n-Type Organic Thermoelectrics,"Wang, Suhao; Sun, Hengda; Erdmann, Tim; Wang, Gang; Fazzi, Daniele; Lappan, Uwe; Puttisong, Yuttapoom; Chen, Zhihua; Berggren, Magnus; Crispin, Xavier; Kiriy, Anton; Voit, Brigitte; Marks, Tobin J.; Fabiano, Simone; Facchetti, Antonio",ADVANCED MATERIALS,AUG 2 2018,2018.0,10.1002/adma.201801898,52,OTE
Effective treatment methods on PEDOT:PSS to enhance its thermoelectric performance,"Zhu, Zhengyou; Liu, Congcong; Jiang, Fengxing; Xu, Jingkun; Liu, Endou",SYNTHETIC METALS,MAR 2017,2017.0,10.1016/j.synthmet.2016.11.011,52,OTE
PEDOT-based composites as electrode materials for supercapacitors,"Zhao, Zhiheng; Richardson, Georgia F.; Meng, Qingshi; Zhu, Shenmin; Kuan, Hsu-Chiang; Ma, Jun",NANOTECHNOLOGY,JAN 29 2016,2016.0,10.1088/0957-4484/27/4/042001,52,OTE
Simultaneous Increases in Electrical Conductivity and Seebeck Coefficient of PEDOT:PSS Films by Adding Ionic Liquids into a Polymer Solution,"Liu, Congcong; Xu, Jingkun; Lu, Baoyang; Yue, Ruirui; Kong, Fangfang",JOURNAL OF ELECTRONIC MATERIALS,APR 2012,2012.0,10.1007/s11664-012-1942-8,52,OTE
Thermoelectric Performances of Free-Standing Polythiophene and Poly(3-Methylthiophene) Nanofilms,Lu Bao-Yang; Liu Cong-Cong; Lu Shan; Xu Jing-Kun; Jiang Feng-Xing; Li Yu-Zhen; Zhang Zhuo,CHINESE PHYSICS LETTERS,MAY 2010,2010.0,10.1088/0256-307X/27/5/057201,52,OTE
Dielectric and pyroelectric response of PVDF loaded with BaTiO3 obtained by mechano synthesis,"Kulek, J.; Szafraniak, I.; Hilczer, B.; Polomska, M.",JOURNAL OF NON-CRYSTALLINE SOLIDS,DEC 1 2007,2007.0,10.1016/j.jnoncrysol.2007.02.077,52,OTE
Quad quantum cascade laser spectrometer with dual gas cells for the simultaneous analysis of mainstream and sidestream cigarette smoke,"Baren, RE; Parrish, ME; Shafer, KH; Harward, CN; Quan, S; Nelson, DD; McManus, JB; Zahniser, MS",SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,DEC 2004,2004.0,10.1016/j.saa.2003.11.048,52,OTE
Studies on the electronic transport properties of some aromatic polysulfones in thin films,"Rusu, GI; Caplanus, I; Leontie, L; Airinei, A; Butuc, E; Mardare, D; Rusu, II",ACTA MATERIALIA,FEB 8 2001,2001.0,10.1016/S1359-6454(00)00339-6,52,OTE
Towards seamlessly-integrated textile electronics: methods to coat fabrics and fibers with conducting polymers for electronic applications,"Allison, Linden; Hoxie, Steven; Andrew, Trisha L.",CHEMICAL COMMUNICATIONS,JUL 7 2017,2017.0,10.1039/c7cc02592k,51,OTE
Polypyrrole nanostructures and their thermoelectric performance,"Liang, Lirong; Chen, Guangming; Guo, Cun-Yue",MATERIALS CHEMISTRY FRONTIERS,FEB 1 2017,2017.0,10.1039/c6qm00061d,51,OTE
Review-Organic Materials for Thermoelectric Energy Generation,"Cowen, Lewis M.; Atoyo, Jonathan; Carnie, Matthew J.; Baran, Derya; Schroeder, Bob C.",ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,2017,2017.0,10.1149/2.0121703jss,51,OTE
Ultrahigh Pyroelectric Figures of Merit Associated with Distinct Bistable Dielectric Phase Transition in a New Molecular Compound: Di-n-Butylaminium Trifluoroacetate,"Sun, Zhihua; Tang, Yuanyuan; Zhang, Shuquan; Ji, Chengmin; Chen, Tianliang; Luo, Junhua",ADVANCED MATERIALS,AUG 26 2015,2015.0,10.1002/adma.201501923,51,OTE
Thermoelectric Properties and Thermal Stability of PEDOT:PSS Films on a Polyimide Substrate and Application in Flexible Energy Conversion Devices,"Hokazono, Masahiro; Anno, Hiroaki; Toshima, Naoki",JOURNAL OF ELECTRONIC MATERIALS,JUN 2014,2014.0,10.1007/s11664-014-3003-y,51,OTE
Flexible thermocells for utilization of body heat,"Im, Hyeongwook; Moon, Hyung Geun; Lee, Jeong Seok; Chung, In Young; Kang, Tae June; Kim, Yong Hyup",NANO RESEARCH,APR 2014,2014.0,10.1007/s12274-014-0410-6,51,OTE
Thermal transport in organic semiconducting polymers,"Duda, John C.; Hopkins, Patrick E.; Shen, Yang; Gupta, Mool C.",APPLIED PHYSICS LETTERS,JUN 24 2013,2013.0,10.1063/1.4812234,51,OTE
Controlling the transmission line shape of molecular t-stubs and potential thermoelectric applications,"Stadler, Robert; Markussen, Troels",JOURNAL OF CHEMICAL PHYSICS,OCT 21 2011,2011.0,10.1063/1.3653790,51,OTE
Modulating Electronic Transport Properties of Carbon Nanotubes To Improve the Thermoelectric Power Factor via Nanoparticle Decoration,"Yu, Choongho; Ryu, Yeontack; Yin, Liang; Yang, Hongjoo",ACS NANO,FEB 2011,2011.0,10.1021/nn102999h,51,OTE
